channelTitle,videoId,channelId,title,viewCount,likeCount,dislikeCount,commentCount,time,commentScore
nptelhrd,eLTpf_5di2o,UC640y4UvDAlya_WOj5U4pfA,Mod-01 Lec-01 Lecture 1,72783,162,7,6,3023,0.41698
nptelhrd,GiPOQC5nYMs,UC640y4UvDAlya_WOj5U4pfA,Mod-01 Lec-01 Calculus of Variations and Integral Equations,70179,163,20,18,3470,-0.17778
nptelhrd,pGerRhxNQJE,UC640y4UvDAlya_WOj5U4pfA,Mod-01 Lec-01 Quantum Mechanics -- An Introduction,259914,1678,71,149,2973,0.54344
nptelhrd,zdouC7ZNTJ0,UC640y4UvDAlya_WOj5U4pfA,Mod-01 Lec-36 Perturbation Theory - I,99481,806,20,54,3171,0.39926
nptelhrd,F3ATYBGC_tY,UC640y4UvDAlya_WOj5U4pfA,Mod-01 Lec-02 Linear Vector Spaces - I,82730,434,13,56,3855,0.19236
nptelhrd,ddJg3gzYEb8,UC640y4UvDAlya_WOj5U4pfA,Mod-01 Lec-01 Introduction to Indian Philosophy,101450,748,40,95,2849,0.15424
nptelhrd,_oxnYV6y51w,UC640y4UvDAlya_WOj5U4pfA,Mod-01 Lec-01 Introduction to Linear Block Codes,86240,205,15,16,3804,0.16682
nptelhrd,_6796gj7-Gw,UC640y4UvDAlya_WOj5U4pfA,Mod-01 Lec-01 Lecture-01-Introduction to Gas Dynamics & Review of Basic Thermodynamics,125866,360,22,27,3036,0.15472
nptelhrd,G4YHzSmT3qU,UC640y4UvDAlya_WOj5U4pfA,Mod-01 Lec-01 Motivation for CFD and Introduction to the CFD approach,67462,236,6,11,3449,0.64426
nptelhrd,yP7OACmLP48,UC640y4UvDAlya_WOj5U4pfA,Mod-01 Lec-01 Lecture-01-High Voltage DC Transmission,104986,376,15,18,3150,0.31752
nptelhrd,cneuckplrtI,UC640y4UvDAlya_WOj5U4pfA,Mod-01 Lec-13 Lecture-13-Three Phase Transformer Phase Groups Part - I,78103,277,35,24,3250,0.1749
