channelTitle,title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,duration,categoryId
CrashCourse,Lord of the Flies: Crash Course Literature 305,1186007,23034,2526,0,2811,PT11M55S,27
CrashCourse,Shakespeare's Sonnets: Crash Course Literature 304,609316,10740,205,0,637,PT12M27S,27
CrashCourse,Simple Harmonic Motion: Crash Course Physics #16,869297,9958,403,0,618,PT9M11S,27
CrashCourse,Fluids in Motion: Crash Course Physics #15,576288,8810,187,0,580,PT9M47S,27
CrashCourse,Arguments Against Personal Identity: Crash Course Philosophy #20,863184,17956,231,0,1404,PT9M44S,27
CrashCourse,Perspectives on Death: Crash Course Philosophy #17,1679016,40514,576,0,4196,PT9M1S,27
CrashCourse,"Work, Energy, and Power: Crash Course Physics #9",1532752,16792,644,0,1298,PT9M55S,27
CrashCourse,The Economics of Immigration: Crash Course Econ #33,426520,8288,1864,0,2892,PT11M21S,27
CrashCourse,"Anti-Vaxxers, Conspiracy Theories, & Epistemic Responsibility: Crash Course Philosophy #14",1095893,22021,830,0,4337,PT9M47S,27
CrashCourse,What Is God Like?: Crash Course Philosophy #12,1585573,35511,1544,0,12949,PT10M32S,27
CrashCourse,Newton's Laws: Crash Course Physics #5,2403470,25301,1108,0,2042,PT11M4S,27
CrashCourse,Taxes: Crash Course Economics #31,752229,9097,532,0,2758,PT12M29S,27
CrashCourse,Intelligent Design: Crash Course Philosophy #11,1724969,29856,1440,0,10918,PT9M34S,27
CrashCourse,Vectors and 2D Motion: Crash Course Physics #4,924773,10639,298,0,900,PT10M6S,27
CrashCourse,Aquinas & the Cosmological Arguments: Crash Course Philosophy #10,1611123,26895,887,0,6599,PT10M26S,27
CrashCourse,Derivatives: Crash Course Physics #2,1292172,17902,845,0,2264,PT10M2S,27
CrashCourse,The Economics of Healthcare: Crash Course Econ #29,693663,9746,488,0,1564,PT10M26S,27
CrashCourse,"Karl Popper, Science, & Pseudoscience: Crash Course Philosophy #8",1517122,30785,384,0,3322,PT8M57S,27
CrashCourse,The Meaning of Knowledge: Crash Course Philosophy #7,1548133,22783,290,0,1770,PT10M12S,27
CrashCourse,"Locke, Berkeley, & Empiricism: Crash Course Philosophy #6",1647529,24757,265,0,2219,PT9M52S,27
CrashCourse,Behavioral Economics: Crash Course Economics #27,527849,10034,163,0,640,PT10M34S,27
CrashCourse,"Cartesian Skepticism - Neo, Meet Rene: Crash Course Philosophy #5",1682364,29725,283,0,2313,PT10M1S,27
CrashCourse,Foreign Policy: Crash Course Government and Politics #50,460097,7017,268,0,835,PT10M,27
CrashCourse,Monopolies and Anti-Competitive Markets: Crash Course Economics #25,619173,8121,224,0,1077,PT10M17S,27
CrashCourse,How to Argue - Induction & Abduction: Crash Course Philosophy #3,1865287,32010,323,0,1776,PT10M18S,27
CrashCourse,"Revenue, Profits, and Price: Crash Course Economics #24",511277,7670,153,0,493,PT11M10S,27
CrashCourse,Monetary and Fiscal Policy: Crash Course Government and Politics #48,486267,5091,203,0,605,PT9M19S,27
CrashCourse,What is Philosophy?: Crash Course Philosophy #1,4289284,75100,1012,0,6076,PT10M35S,27
CrashCourse,Government Regulation: Crash Course Government and Politics #47,242120,3157,218,0,784,PT9M49S,27
CrashCourse,"Market Failures, Taxes, and Subsidies: Crash Course Economics #21",827434,10982,424,0,1353,PT12M12S,27
CrashCourse,Deep Time: Crash Course Astronomy #45,1642668,29865,599,0,4003,PT15M15S,27
CrashCourse,A Brief History of the Universe: Crash Course Astronomy #44,755198,13124,208,0,1250,PT12M36S,27
CrashCourse,"Immune System, Part 3: Crash Course A&P #47",1789887,23704,245,0,1237,PT9M37S,27
CrashCourse,"Dark Energy, Cosmology part 2: Crash Course Astronomy #43",819416,13470,166,0,1464,PT11M23S,27
CrashCourse,"Immune System, Part 2: Crash Course A&P #46",2242050,22752,335,0,1154,PT9M44S,27
CrashCourse,"The Big Bang, Cosmology part 1: Crash Course Astronomy #42",1003203,15824,367,0,2924,PT13M23S,27
CrashCourse,"Immune System, Part 1: Crash Course A&P #45",3747092,39853,810,0,1811,PT9M13S,27
CrashCourse,Income and Wealth Inequality: Crash Course Economics #17,1053221,14095,2255,0,3899,PT10M16S,27
CrashCourse,Globalization and Trade and Poverty: Crash Course Economics #16,818989,8908,439,0,927,PT9M2S,27
CrashCourse,Political Campaigns: Crash Course Government and Politics #39,463327,4761,145,0,624,PT9M36S,27
CrashCourse,"Reproductive System, Part 3 - Sex & Fertilization: Crash Course A&P #42",1278653,8130,205,0,575,PT9M59S,27
CrashCourse,Gamma-Ray Bursts: Crash Course Astronomy #40,894327,15082,248,0,1198,PT14M5S,27
CrashCourse,Economic Schools of Thought: Crash Course Economics #14,1076030,16126,1340,0,3869,PT10M5S,27
CrashCourse,"Galaxies, part 1: Crash Course Astronomy #38",1006780,12878,225,0,814,PT12M6S,27
CrashCourse,"Reproductive System, Part 1 - Female Reproductive System: Crash Course A&P #40",3091735,20989,797,0,1359,PT10M15S,27
CrashCourse,Political Ideology: Crash Course Government and Politics #35,1751471,25204,1187,0,5793,PT8M47S,27
CrashCourse,"Urinary System, Part 1: Crash Course A&P #38",2796363,22134,691,0,925,PT10M18S,27
CrashCourse,Shaping Public Opinion: Crash Course Government and Politics #34,316027,4229,97,0,317,PT7M21S,27
CrashCourse,What's all the Yellen About? Monetary Policy and the Federal Reserve: Crash Course Economics #10,1032541,11573,444,0,1166,PT9M25S,27
CrashCourse,"Metabolism & Nutrition, Part 1: Crash Course A&P #36",1861985,22930,517,0,841,PT10M33S,27
CrashCourse,Black Holes: Crash Course Astronomy #33,1952104,29929,419,0,3125,PT12M26S,27
CrashCourse,Neutron Stars: Crash Course Astronomy #32,1795626,27992,506,0,2299,PT12M57S,27
CrashCourse,High Mass Stars: Crash Course Astronomy #31,1475015,22177,442,0,1837,PT12M17S,27
CrashCourse,"Digestive System, Part 1: Crash Course A&P #33",2868149,23794,729,0,1149,PT11M5S,27
CrashCourse,Productivity and Growth: Crash Course Economics #6,1104399,12658,402,0,1191,PT8M51S,27
CrashCourse,"Respiratory System, Part 1: Crash Course A&P #31",2964947,22054,1016,0,1248,PT9M22S,27
CrashCourse,Search and Seizure: Crash Course Government and Politics #27,525342,6097,161,0,616,PT7M38S,27
CrashCourse,Supply and Demand: Crash Course Economics #4,2074785,22966,822,0,2059,PT10M22S,27
CrashCourse,Freedom of Speech: Crash Course Government and Politics #25,690666,8355,239,0,1103,PT6M52S,27
CrashCourse,Stars: Crash Course Astronomy #26,1215553,15397,331,0,958,PT10M41S,27
CrashCourse,"Blood Vessels, Part 1 - Form and Function: Crash Course A&P #27",1619043,14980,295,0,495,PT9M30S,27
CrashCourse,Civil Rights & Liberties: Crash Course Government #23,768596,6669,216,0,809,PT7M56S,27
CrashCourse,Distances: Crash Course Astronomy #25,1290589,19091,494,0,1460,PT11M21S,27
CrashCourse,Judicial Decisions: Crash Course Government and Politics #22,399487,3599,101,0,236,PT7M14S,27
CrashCourse,Light: Crash Course Astronomy #24,1312163,22344,309,0,1492,PT10M34S,27
CrashCourse,Intro to Economics: Crash Course Econ #1,4510790,56718,2425,0,4496,PT12M9S,27
CrashCourse,"The Heart, Part 1 - Under Pressure: Crash Course A&P #25",3897959,38024,741,0,1461,PT10M8S,27
CrashCourse,Judicial Review: Crash Course Government and Politics #21,761532,6322,205,0,549,PT8M1S,27
CrashCourse,The Oort Cloud: Crash Course Astronomy #22,1360365,18069,367,0,1370,PT11M41S,27
CrashCourse,"Endocrine System, Part 1 - Glands & Hormones: Crash Course A&P #23",3457505,31221,797,0,1175,PT10M25S,27
CrashCourse,Comets: Crash Course Astronomy #21,694956,9292,134,0,537,PT11M55S,27
CrashCourse,"Muscles, Part 1 - Muscle Cells: Crash Course A&P #21",4114451,45061,938,0,1599,PT10M24S,27
CrashCourse,Legal System Basics: Crash Course Government and Politics #18,800014,7637,263,0,430,PT8M14S,27
CrashCourse,Uranus & Neptune: Crash Course Astronomy #19,1536901,18126,492,0,1884,PT12M19S,27
CrashCourse,Joints: Crash Course A&P #20,1959397,21018,410,0,857,PT9M23S,27
CrashCourse,"Patents, Novelty, and Trolls: Crash Course Intellectual Property #4",248997,4221,74,0,284,PT9M51S,27
CrashCourse,Vision: Crash Course A&P #18,2106865,21725,421,0,1206,PT9M39S,27
CrashCourse,Bureaucracy Basics: Crash Course Government and Politics #15,854594,7819,275,0,525,PT6M59S,27
