channelId,videoId,channelTitle,title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,categoryId
UCRyRMkYk4HzNPeSnsLHm-oQ,S9q9stRtSJQ,Kelvin Academy,What is Statistics ? Why Study Statistics ?,76,9,0,0,3,27
UCRyRMkYk4HzNPeSnsLHm-oQ,oWJpZ9PIgzI,Kelvin Academy,How to Solve Quadratic Equation Using Completing the Square Method,26,3,0,0,2,27
UCRyRMkYk4HzNPeSnsLHm-oQ,j5deSV7deSs,Kelvin Academy,The Mystery of Zero (Nought) in Mathematics,2202,45,0,0,5,27
UCRyRMkYk4HzNPeSnsLHm-oQ,8iDj6FOPJSE,Kelvin Academy,Basic Calculus of Integration for Beginners,145,5,1,0,3,27
UCRyRMkYk4HzNPeSnsLHm-oQ,BWiqAUak6xg,Kelvin Academy,Basic Calculus of Derivatives for Beginners,1374,13,2,0,1,27
UCRyRMkYk4HzNPeSnsLHm-oQ,UQGTfKFkhB4,Kelvin Academy,"How to Measure and Record Land Surveying Data (HOC) - BS, IS, FS and Station Part 2",36,3,0,0,2,27
UCRyRMkYk4HzNPeSnsLHm-oQ,8p9oumzcldc,Kelvin Academy,Basic Concepts of Land Surveying in Construction Part 1,65,5,0,0,2,27
UCRyRMkYk4HzNPeSnsLHm-oQ,37H8PbRLXcs,Kelvin Academy,How to Identify Topographic Features in Construction and Civil Engineering Part 7a,25,3,0,0,1,27
UCRyRMkYk4HzNPeSnsLHm-oQ,255CiMa1L-c,Kelvin Academy,How to Construct Topographic Profile From Maps Part 7b,37,2,0,0,1,27
UCRyRMkYk4HzNPeSnsLHm-oQ,ADaX9K-wm5Q,Kelvin Academy,How to Construct Isoline Profiles From a GPS Receiver Part 8,34,4,0,0,1,27
UCRyRMkYk4HzNPeSnsLHm-oQ,aaFBVA8h-90,Kelvin Academy,"How to Convert Degrees, Minutes and Seconds (DMS) to Decimal Degrees Part 4",30,2,0,0,1,27
UCRyRMkYk4HzNPeSnsLHm-oQ,F05la2OW_2w,Kelvin Academy,Solving DMS Complementary and Supplementary Angles Part 6,28,3,0,0,1,27
UCRyRMkYk4HzNPeSnsLHm-oQ,mM3ivxFvh8Q,Kelvin Academy,"How to Convert Decimal Degrees to Degrees, Minutes and Seconds (DMS) Part 3",33,3,0,0,1,27
UCRyRMkYk4HzNPeSnsLHm-oQ,NZv9a8eEnSI,Kelvin Academy,How to Read and Represent Latitude and Longitude Part 2,32,3,0,0,1,27
UCRyRMkYk4HzNPeSnsLHm-oQ,OUFn_g5mpI4,Kelvin Academy,Understanding Site Location in Construction Part 1,49,3,0,0,1,27
UCRyRMkYk4HzNPeSnsLHm-oQ,Cg-4JMTnnQ0,Kelvin Academy,Calculus | Solved Derivatives Using The 1st Principles Part 2,132,2,0,0,0,27
UCRyRMkYk4HzNPeSnsLHm-oQ,sAegaMseCyc,Kelvin Academy,Jim Rohn - 4 Steps to Good Communication,51,3,0,0,0,27
UCRyRMkYk4HzNPeSnsLHm-oQ,Og_RKm7hRd4,Kelvin Academy,Jim Rohn - The Power of Ambition is Discipline,109,1,0,0,0,27
UCRyRMkYk4HzNPeSnsLHm-oQ,SeYVKw09tBk,Kelvin Academy,Jim Rohn - The Mindset and Attitude of Thinking Wealthy,18,1,0,0,0,27
UCRyRMkYk4HzNPeSnsLHm-oQ,CXsTLRHxiXw,Kelvin Academy,Introduction to Pythagoras Theorem Part 1,63,2,0,0,0,27
UCRyRMkYk4HzNPeSnsLHm-oQ,uQ5udlmmXIw,Kelvin Academy,Steps Solving Negative and Fractional Power in Binomial Theorem Part 11,196,2,0,0,0,27
